,wl,power
357,657,0.009208993054148436
358,658,0.01064450776227941
359,659,0.01104497058487499
360,660,0.011491513304260938
361,661,0.011829210488636019
362,662,0.012121272552354454
363,663,0.012535843074182446
364,664,0.013050792021397957
365,665,0.013703791454819645
366,666,0.014128226886200027
367,667,0.014471437411858747
368,668,0.014972923656433993
369,669,0.015693366150653292
370,670,0.015938070316327217
371,671,0.016376632047054897
372,672,0.016623228475754547
373,673,0.017259144512848868
374,674,0.017733460697985162
375,675,0.018083651301448577
376,676,0.01879437877901643
377,677,0.01911934664055558
378,678,0.019723974275504857
379,679,0.02006009328153279
380,680,0.0206032529858151
381,681,0.02104118602174616
382,682,0.021671469008727854
383,683,0.021975350986516862
384,684,0.022380790474892106
385,685,0.022963504302062374
386,686,0.02300725821678344
387,687,0.016981257464888877
388,688,0.02011783229418181
389,689,0.020710881073427893
390,690,0.022197092901111107
391,691,0.023677132121962353
392,692,0.024901258991610664
393,693,0.025285520457918934
394,694,0.02552769413948557
395,695,0.02657239838434445
396,696,0.027035840152853822
397,697,0.02912276183157164
398,698,0.029212189615913965
399,699,0.029147666318110575
400,700,0.029467501930940342
401,701,0.02960902431520945
402,702,0.03015114141981781
403,703,0.030819103772551246
404,704,0.03212023911310134
405,705,0.032958837309984924
406,706,0.03328526464684684
407,707,0.03364283208033033
408,708,0.0340106265843946
409,709,0.03459449785171383
410,710,0.03525437672366466
411,711,0.035634350073516306
412,712,0.03583435165282544
413,713,0.03583402688527246
414,714,0.03655960150564928
415,715,0.035705078390755714
416,716,0.03643868797171659
417,717,0.03203051898821557
418,718,0.030060581194697723
419,719,0.027191923067332844
420,720,0.029281135697037577
421,721,0.032546756764863315
422,722,0.03748629165102158
423,723,0.0348415868713343
424,724,0.03236832892173449
425,725,0.03205141697124556
426,726,0.03361524021794307
427,727,0.03396320227285614
428,728,0.032781724330275236
429,729,0.033221387997205365
430,730,0.036065659599789045
431,731,0.03443470726073531
432,732,0.037352124878669464
433,733,0.03900558233433355
434,734,0.040589707273280054
435,735,0.040314208713370256
436,736,0.04026609999633913
437,737,0.040565151287875884
438,738,0.04173160318240386
439,739,0.04090158839086539
440,740,0.042360012650684
441,741,0.04269781764398093
442,742,0.04328369145069532
443,743,0.0448491820197556
444,744,0.04593555432021621
445,745,0.04672058031491897
446,746,0.04753019216350174
447,747,0.048545018796156976
448,748,0.0493329737745875
449,749,0.0504196759946092
450,750,0.05173349466211575
451,751,0.053029079737431734
452,752,0.054983556794433425
453,753,0.056593986155881314
454,754,0.05941322001267342
455,755,0.06163744527239981
456,756,0.06344853187073297
457,757,0.06623533572983632
458,758,0.0698923947995761
459,759,0.07130096139681849
460,760,0.01672208582311178
461,761,0.01021745931939976
462,762,0.04820429712658752
463,763,0.028187060539051578
464,764,0.042466577254963465
465,765,0.05737745659694744
