wl,power
1084,6.1800E-01
1086,6.2080E-01
1088,6.1030E-01
1090,6.1990E-01
1092,6.1590E-01
1094,5.8490E-01
1096,5.9830E-01
1098,5.9610E-01
1100,6.0420E-01
1102,5.9320E-01
1104,5.9740E-01
1106,5.9450E-01
1108,5.9160E-01
1110,5.9060E-01
1112,5.8430E-01
1114,5.8440E-01
1116,5.8310E-01
1118,5.8150E-01
1120,5.7410E-01
1122,5.7960E-01
1124,5.7690E-01
1126,5.6550E-01
1128,5.7000E-01
1130,5.6530E-01
1132,5.6780E-01
1134,5.6380E-01
1136,5.6580E-01
1138,5.5690E-01
1140,5.5300E-01
1142,5.5310E-01
1144,5.5140E-01
1146,5.5480E-01
1148,5.5250E-01
1150,5.4890E-01
1152,5.4580E-01
1154,5.4790E-01
1156,5.4550E-01
1158,5.4350E-01
1160,5.3200E-01
1162,5.3250E-01
1164,5.3320E-01
1166,5.3030E-01
1168,5.3120E-01
1170,5.2760E-01
1172,5.3150E-01
1174,5.2730E-01
1176,5.1840E-01
1178,5.1900E-01
1180,5.2390E-01
1182,5.1590E-01
1184,5.1030E-01
1186,5.1870E-01
1188,5.0750E-01
1190,5.0850E-01
1192,5.1610E-01
1194,5.1450E-01
1196,5.0840E-01
1198,4.9430E-01
1200,5.0030E-01
1202,5.0680E-01
1204,4.9480E-01
1206,5.0390E-01
1208,4.8900E-01
1210,4.8820E-01
1212,4.9330E-01
1214,4.9420E-01
1216,4.9300E-01
1218,4.8970E-01
1220,4.8750E-01
1222,4.8540E-01
1224,4.8460E-01
1226,4.8170E-01
1228,4.7710E-01
1230,4.7920E-01
1232,4.7500E-01
1234,4.7290E-01
1236,4.7190E-01
1238,4.7030E-01
1240,4.6530E-01
1242,4.6420E-01
1244,4.6190E-01
1246,4.6350E-01
1248,4.6330E-01
1250,4.6240E-01
1252,4.5710E-01
1254,4.5740E-01
1256,4.5510E-01
1258,4.5330E-01
1260,4.5300E-01
1262,4.4970E-01
1264,4.4780E-01
1266,4.4670E-01
1268,4.4170E-01
1270,4.4530E-01
1272,4.4520E-01
1274,4.4310E-01
1276,4.4510E-01
1278,4.4400E-01
1280,4.3560E-01
1282,4.0140E-01
1284,4.2590E-01
1286,4.3280E-01
1288,4.3140E-01
1290,4.2550E-01
1292,4.2540E-01
1294,4.2230E-01
1296,4.2240E-01
1298,4.1840E-01
1300,4.1860E-01
1302,4.1390E-01
1304,4.1110E-01
1306,4.1360E-01
1308,4.1230E-01
1310,4.1060E-01
1312,4.0330E-01
1314,4.0220E-01
1316,3.9790E-01
1318,4.0170E-01
1320,4.0160E-01
1322,3.9860E-01
1324,3.9810E-01
1326,3.9490E-01
1328,3.9080E-01
1330,3.8780E-01
1332,3.8630E-01
1334,3.8920E-01
1336,3.8660E-01
1338,3.8320E-01
1340,3.7900E-01
1342,3.8050E-01
1344,3.7980E-01
1346,3.7720E-01
1348,3.7660E-01
1350,3.7240E-01
1352,3.7420E-01
1354,3.7220E-01
1356,3.6750E-01
1358,3.6880E-01
1360,3.6730E-01
1362,3.6770E-01
1364,3.6570E-01
1366,3.6570E-01
1368,3.6280E-01
1370,3.5990E-01
1372,3.6210E-01
1374,3.6110E-01
1376,3.5610E-01
1378,3.5800E-01
1380,3.5790E-01
1382,3.5450E-01
1384,3.5470E-01
1386,3.5320E-01
1388,3.5300E-01
1390,3.5060E-01
1392,3.5130E-01
1394,3.4880E-01
1396,3.4870E-01
1398,3.4920E-01
1400,3.4270E-01
1402,3.4390E-01
1404,3.4280E-01
1406,3.4310E-01
1408,3.4270E-01
1410,3.4180E-01
1412,3.3480E-01
1414,3.3770E-01
1416,3.3850E-01
1418,3.3860E-01
1420,3.3570E-01
1422,3.3150E-01
1424,3.3110E-01
1426,3.2810E-01
1428,3.2850E-01
1430,3.2570E-01
1432,3.3000E-01
1434,3.2840E-01
1436,3.2850E-01
1438,3.2830E-01
1440,3.1880E-01
1442,3.1860E-01
1444,3.1970E-01
1446,3.2160E-01
1448,3.2160E-01
1450,3.1870E-01
1452,3.1540E-01
1454,3.1430E-01
1456,3.1310E-01
1458,3.1670E-01
1460,3.1560E-01
1462,3.1210E-01
1464,3.1050E-01
1466,3.1080E-01
1468,3.1140E-01
1470,3.1020E-01
1472,3.0730E-01
1474,3.0340E-01
1476,3.0480E-01
1478,3.0440E-01
1480,3.0680E-01
1482,3.0440E-01
1484,3.0390E-01
1486,3.0330E-01
1488,2.8550E-01
1490,3.0150E-01
1492,3.0180E-01
1494,3.0330E-01
1496,2.9720E-01
1498,2.9940E-01
1500,3.0110E-01
