Wavelength,Responsivity
374.0,0.172
374.1,0.17205
374.2,0.1721
374.3,0.17215
374.4,0.1722
374.5,0.17225
374.6,0.1723
374.7,0.17235
374.8,0.1724
374.9,0.17245
375.0,0.1725
375.1,0.17255
375.2,0.1726
375.3,0.17265
375.4,0.1727
375.5,0.17275
375.6,0.1728
375.7,0.17285
375.8,0.1729
375.9,0.17295
376.0,0.173
376.1,0.17305
376.2,0.1731
376.3,0.17315
376.4,0.1732
376.5,0.17325
376.6,0.1733
376.7,0.17335
376.8,0.1734
376.9,0.17345
377.0,0.1735
377.1,0.17355
377.2,0.1736
377.3,0.17365
377.4,0.1737
377.5,0.17375
377.6,0.1738
377.7,0.17385
377.8,0.1739
377.9,0.17395
378.0,0.174
378.1,0.17405
378.2,0.1741
378.3,0.17415
378.4,0.1742
378.5,0.17425
378.6,0.1743
378.7,0.17435
378.8,0.1744
378.9,0.17445
379.0,0.1745
379.1,0.17455
379.2,0.1746
379.3,0.17465
379.4,0.1747
379.5,0.17475
379.6,0.1748
379.7,0.17485
379.8,0.1749
379.9,0.17495
380.0,0.175
380.1,0.17511
380.2,0.17522
380.3,0.17533
380.4,0.17544
380.5,0.17555
380.6,0.17566
380.7,0.17577
380.8,0.17588
380.9,0.17599
381.0,0.1761
381.1,0.17621
381.2,0.17632
381.3,0.17643
381.4,0.17654
381.5,0.17665
381.6,0.17676
381.7,0.17687
381.8,0.17698
381.9,0.17709
382.0,0.1772
382.1,0.17731
382.2,0.17742
382.3,0.17753
382.4,0.17764
382.5,0.17775
382.6,0.17786
382.7,0.17797
382.8,0.17808
382.9,0.17819
383.0,0.1783
383.1,0.17841
383.2,0.17852
383.3,0.17863
383.4,0.17874
383.5,0.17885
383.6,0.17896
383.7,0.17907
383.8,0.17918
383.9,0.17929
384.0,0.1794
384.1,0.17951
384.2,0.17962
384.3,0.17973
384.4,0.17984
384.5,0.17995
384.6,0.18006
384.7,0.18017
384.8,0.18028
384.9,0.18039
385.0,0.1805
385.1,0.18061
385.2,0.18072
385.3,0.18083
385.4,0.18094
385.5,0.18105
385.6,0.18116
385.7,0.18127
385.8,0.18138
385.9,0.18149
386.0,0.1816
386.1,0.18171
386.2,0.18182
386.3,0.18193
386.4,0.18204
386.5,0.18215
386.6,0.18226
386.7,0.18237
386.8,0.18248
386.9,0.18259
387.0,0.1827
387.1,0.18281
387.2,0.18292
387.3,0.18303
387.4,0.18314
387.5,0.18325
387.6,0.18336
387.7,0.18347
387.8,0.18358
387.9,0.18369
388.0,0.1838
388.1,0.18391
388.2,0.18402
388.3,0.18413
388.4,0.18424
388.5,0.18435
388.6,0.18446
388.7,0.18457
388.8,0.18468
388.9,0.18479
389.0,0.1849
389.1,0.18501
389.2,0.18512
389.3,0.18523
389.4,0.18534
389.5,0.18545
389.6,0.18556
389.7,0.18567
389.8,0.18578
389.9,0.18589
390.0,0.186
390.1,0.18607
390.2,0.18614
390.3,0.18621
390.4,0.18628
390.5,0.18635
390.6,0.18642
390.7,0.18649
390.8,0.18656
390.9,0.18663
391.0,0.1867
391.1,0.18677
391.2,0.18684
391.3,0.18691
391.4,0.18698
391.5,0.18705
391.6,0.18712
391.7,0.18719
391.8,0.18726
391.9,0.18733
392.0,0.1874
392.1,0.18747
392.2,0.18754
392.3,0.18761
392.4,0.18768
392.5,0.18775
392.6,0.18782
392.7,0.18789
392.8,0.18796
392.9,0.18803
393.0,0.1881
393.1,0.18817
393.2,0.18824
393.3,0.18831
393.4,0.18838
393.5,0.18845
393.6,0.18852
393.7,0.18859
393.8,0.18866
393.9,0.18873
394.0,0.1888
394.1,0.18887
394.2,0.18894
394.3,0.18901
394.4,0.18908
394.5,0.18915
394.6,0.18922
394.7,0.18929
394.8,0.18936
394.9,0.18943
395.0,0.1895
395.1,0.18957
395.2,0.18964
395.3,0.18971
395.4,0.18978
395.5,0.18985
395.6,0.18992
395.7,0.18999
395.8,0.19006
395.9,0.19013
396.0,0.1902
396.1,0.19027
396.2,0.19034
396.3,0.19041
396.4,0.19048
396.5,0.19055
396.6,0.19062
396.7,0.19069
396.8,0.19076
396.9,0.19083
397.0,0.1909
397.1,0.19097
397.2,0.19104
397.3,0.19111
397.4,0.19118
397.5,0.19125
397.6,0.19132
