V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.013455645232	0.001300694968	-1.75016900444556E-05	-0.013526197208	0.001359930318	-1.83946856704062E-05	-0.01070767396	0.001271859206	-1.36186537008725E-05	-0.019106766155	0.001226610914	-2.34365678969688E-05	-0.010035270342	0.001345922302	-1.3506694159897E-05	-0.0195268320464	0.001335806356	-2.60840663601256E-05	-0.01030776024	0.00137996536	-1.42243520703853E-05	-0.02025799643	0.001360726474	-2.75655920524985E-05	-0.0094037576516	0.00132051919	-1.24178424370471E-05	-0.019249517822	0.001283567754	-2.47080603563675E-05	-0.010203677494	0.001354951506	-1.38254881872336E-05	-0.0173725503828	0.00132232974	-2.29722400308248E-05	-0.010722275112	0.001315041594	-1.4100237754591E-05	-0.0184730295086	0.001280122584	-2.36477422688573E-05	-0.01057339948	0.001429144356	-1.51109141905753E-05	-0.018016093302	0.001421506432	-2.56099925083051E-05	-0.011557279386	0.001384380452	-1.5999671660281E-05	-0.017943876812	0.00138227715	-2.48034108996424E-05	
-0.004453072432	0.001299509154	-5.78680838880904E-06	-0.004586025028	0.001360250546	-6.23814304830667E-06	-0.00254474904	0.001270273532	-3.23252735109441E-06	-0.010855754407	0.001217818132	-1.32203345533835E-05	-0.001592674182	0.001346379442	-2.14434377644897E-06	-0.0110537306504	0.001328994512	-1.46903473715078E-05	-0.00206144012	0.001380101118	-2.84499581430206E-06	-0.011063585038	0.001351386048	-1.49511744612147E-05	-0.0005864252916	0.001317928732	-7.72866740971118E-07	-0.011090333542	0.001275825008	-1.41493248799448E-05	-0.002312179394	0.001356063418	-3.13546189205681E-06	-0.0096260887288	0.00131774172	-1.26846987183615E-05	-0.002392561732	0.001316046378	-3.14872220154E-06	-0.0102780803846	0.001268908346	-1.30419419808778E-05	-0.00121575016	0.001427299174	-1.73523919915837E-06	-0.009049984228	0.001415699372	-1.28120569881895E-05	-0.003091091186	0.001353311574	-4.18320947830319E-06	-0.00966026721	0.0013528392	-1.30687881641626E-05	
0.004847819488	0.001280970876	6.20991557623323E-06	0.004287305472	0.001356087584	5.81396171939446E-06	0.0064892161	0.00126579264	8.2140019787495E-06	-0.002217007467	0.001209741998	-2.6820070427095E-06	0.006622633718	0.00134709609	8.92132398701996E-06	-0.0029198509304	0.001324287358	-3.86672167437326E-06	0.00736755502	0.001377160648	1.01463068455189E-05	-0.002221838578	0.00134513847	-2.98868054539789E-06	0.0072766619084	0.001318554876	9.59467804032429E-06	-0.001985148242	0.001266958346	-2.51510013324913E-06	0.006310143486	0.001353958728	8.54367384780205E-06	-0.0015117434288	0.001313001318	-1.98492111449224E-06	0.006331293248	0.001316441642	8.33477807938063E-06	-0.0016588659046	0.001257191716	-2.08551247321797E-06	0.00661987724	0.001427315798	9.44865536547264E-06	-0.001015097908	0.001411235102	-1.43254179973637E-06	0.006626453794	0.001316818896	8.72583956941009E-06	-0.00120282841	0.001321267932	-1.58925860583155E-06	
0.013375966168	0.001276452752	1.70737888258025E-05	0.013897293792	0.001351924622	1.87880936565725E-05	0.01514305652	0.001262728418	1.91215678031842E-05	0.006709909673	0.00120111822	8.05939476279454E-06	0.015661102856	0.00134694371	2.10946239835522E-05	0.0058863813896	0.00131989697	7.76941696039743E-06	0.01611646038	0.001375315466	2.21652172177902E-05	0.006485652922	0.001339393286	8.68683997905308E-06	0.0159615146884	0.00131598104	2.10050506996159E-05	0.005808053418	0.001264458392	7.34404188557438E-06	0.015897238566	0.001350132606	2.14633801333173E-05	0.0073259455712	0.001306663238	9.57254376147595E-06	0.015361835048	0.001315832122	2.02135960090238E-05	0.0076370797954	0.001245367958	9.51097446988036E-06	0.0150495375	0.001426722902	2.14715198157578E-05	0.007328569592	0.001407425604	1.03144164844766E-05	0.015042541754	0.00128503337	1.93301681235083E-05	0.00768350101	0.001288399124	9.89941597053712E-06	
0.02185033456	0.001268992416	2.77279088437027E-05	0.021967058652	0.001355542226	2.97772755838046E-05	0.02462830258	0.001256480842	3.09449903627492E-05	0.015455579555	0.001193149214	1.84408125979627E-05	0.024685494794	0.001346091306	3.32289299265117E-05	0.0149670218096	0.001314868434	1.96796645284326E-05	0.025350510838	0.001371901232	3.47783970504816E-05	0.015395194742	0.001334410002	2.05435018464626E-05	0.024413941172	0.001314473864	3.20914875878275E-05	0.014617838498	0.001256720262	1.83705338270802E-05	0.024219531994	0.00135022311	3.27017718116832E-05	0.0150160298312	0.001304513296	1.9588610567933E-05	0.024896547442	0.00131258689	3.26788817786322E-05	0.0156238310314	0.001239775154	1.93700375230239E-05	0.023724813092	0.001427377674	3.38642685273437E-05	0.016266330692	0.001402306562	2.28103822690536E-05	0.023714900848	0.001252683578	2.97072668461879E-05	0.016409892892	0.001257589754	2.06369131652166E-05	
0.0311375274	0.001262077436	3.92979707443717E-05	0.03128431258	0.001348532148	4.21879012422108E-05	0.03355503032	0.001252823724	4.20385380444353E-05	0.024079298348	0.001186901638	2.85797586511319E-05	0.0341898292	0.001343517472	4.59346328948958E-05	0.023195520636	0.001311335066	3.04170995841134E-05	0.0333659905	0.001371686978	4.57676946769217E-05	0.024409882092	0.001328636188	3.24318526922443E-05	0.03257895906	0.001313864344	4.28043326735698E-05	0.02381079226	0.001247684596	2.9708358721358E-05	0.03317822148	0.001349292208	4.47671157182622E-05	0.022843538394	0.001302075218	2.97440052342589E-05	0.03406356248	0.001311610736	4.46781342551748E-05	0.024592794544	0.001229932336	3.024747324227E-05	0.03276137996	0.001427789562	4.6776356343604E-05	0.025289896654	0.00139843519	3.53662814324169E-05	0.03223004706	0.00122088143	3.93490659435801E-05	0.024798141462	0.001227085142	3.04294309372344E-05	
0.03929176622	0.001256858694	4.93841979762225E-05	0.0398038982	0.001345555	5.3558334242501E-05	0.04322900716	0.001246502266	5.38850553818702E-05	0.03316070236	0.00117862787	3.90841279902708E-05	0.04272311438	0.001342998456	5.73770766478514E-05	0.03188081606	0.001308073214	4.1702441528547E-05	0.04291452616	0.001367741722	5.86959879088924E-05	0.03265994332	0.001324110042	4.32453589211628E-05	0.04085724158	0.0013125548	5.36273685505886E-05	0.03197657156	0.001244608368	3.97983085435268E-05	0.04191583724	0.001347661282	5.64883509509617E-05	0.0315757008	0.001296482414	4.09373407969257E-05	0.04274879544	0.00131147498	5.60639756446981E-05	0.03402261422	0.001219587126	4.14935422955765E-05	0.0417897672	0.001428003818	5.96759471149312E-05	0.03348066168	0.00139610424	4.67424937294535E-05	0.04144951158	0.001185376912	4.91332940406086E-05	0.03435758722	0.00119072822	4.09105486739654E-05	
0.04792455194	0.001256313336	6.02082537240467E-05	0.04876366642	0.001348947474	6.57796246402376E-05	0.05094300108	0.001246654646	6.3508328977565E-05	0.04193167546	0.001172380294	4.91598700037074E-05	0.05184358372	0.001339448466	6.94418086856966E-05	0.04115323302	0.001303378066	5.36382212632549E-05	0.05112311318	0.001366917948	6.98811009633774E-05	0.0420321816	0.00131757433	5.53805235100583E-05	0.04933357756	0.001308942934	6.4574837756103E-05	0.0415056393	0.001234444166	5.12363942899853E-05	0.05133880654	0.00134391366	6.89949233972033E-05	0.04043774386	0.001290877604	5.22001779051625E-05	0.05126483064	0.001312146376	6.72669617405298E-05	0.04246546558	0.001213751438	5.15425199130645E-05	0.05100383936	0.001427987194	7.28328294509132E-05	0.04262186714	0.001391335212	5.93013045530677E-05	0.04914118182	0.001156972374	5.6854989791451E-05	0.04227882802	0.001163756976	4.92022810453793E-05	
0.0566138447	0.001248402738	7.06768787321868E-05	0.05624992572	0.001351154136	7.60023197862708E-05	0.0595326017	0.001244064188	7.40623777934379E-05	0.0510956471	0.001163711262	5.94605799694476E-05	0.05983357116	0.001339098454	8.0123042637655E-05	0.05000506662	0.001299478064	6.49804871615486E-05	0.0605408839	0.001364372742	8.26003317697466E-05	0.05029270714	0.00131448148	6.61088321145938E-05	0.05799927834	0.001306138222	7.57550742882907E-05	0.04994360714	0.001231198936	6.149051597077E-05	0.0588617859	0.001344646932	7.91483198224759E-05	0.0497396505	0.001283625244	6.38470710095372E-05	0.05975467452	0.001312603516	7.84341958723876E-05	0.05128412986	0.001206939596	6.18968469744399E-05	0.05988496896	0.00142774431	8.55004236871666E-05	0.05181266438	0.001386961446	7.18621679095975E-05	0.0574091297	0.001125903498	6.46371399463657E-05	0.05085270116	0.001132704722	5.76010947303869E-05	
0.06548628762	0.001252175602	8.20003316233187E-05	0.06546640962	0.001347666564	8.8226891310002E-05	0.06853720558	0.001240542826	8.50233386963562E-05	0.05998242176	0.001155939886	6.93360737712583E-05	0.0681658224	0.00133781754	9.11934328352449E-05	0.05860043756	0.001297147112	7.60133883428903E-05	0.06817547782	0.001366732322	9.31776291043881E-05	0.0590820092	0.001310152968	7.74064697087833E-05	0.06603866766	0.001305162068	8.61911640510903E-05	0.05917841768	0.00122437047	7.24563070687179E-05	0.0680691368	0.00134166121	9.13257204427435E-05	0.05866155776	0.00127815619	7.49786331659865E-05	0.0684537328	0.001313427292	8.99090008987956E-05	0.06011262412	0.001200189628	7.21465479806866E-05	0.06813452568	0.001426587146	9.71998385338949E-05	0.0606272712	0.001384218608	8.39213969473025E-05	0.06639705486	0.001091527514	7.24742122282574E-05	0.05857861554	0.001105276338	6.47455576691611E-05	
