Run Id			Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	Control		Device	Control		Device	Control		Device	Control_S1_P2		Device	Control_S1_P2		Device	Control_S1_P3		Device	Control_S1_P3		Device	Control_B_S1_P3		Device	Control_B_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		
Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV4		Curve	Illuminated IV3		Curve	Illuminated IV4		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		
Time	2:49:16 PM		Time	2:49:35 PM		Time	2:49:35 PM		Time	2:50:41 PM		Time	2:50:41 PM		Time	2:51:07 PM		Time	2:51:07 PM		Time	2:53:16 PM		Time	2:53:16 PM		Time	2:56:55 PM		Time	2:56:55 PM		Time	2:57:26 PM		Time	2:57:26 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
0.01349963396	0.001545567342	2.08645933775301E-05	0.013515163712	0.001542242308	2.08436572761927E-05	0.00516212409	0.001573486354	8.12253181326967E-06	0.013326526296	0.001552408572	2.06882136568938E-05	0.004650288074	0.00155299323	7.22186589647174E-06	0.013154927006	0.001521159188	2.00107380826462E-05	0.003995396328	0.001519335834	6.07034881216241E-06	0.013338770982	0.0009874791868	1.31717587222168E-05	0.004692328736	0.0009275563166	4.35239915864049E-06	0.012803403182	0.001551179092	1.98603713223647E-05	0.004060947582	0.001533569476	6.22774525539121E-06	0.013394515544	0.001528113468	2.04683396001217E-05	0.005002822978	0.001523180508	7.62020244506411E-06	
0.022369729284	0.001544926886	3.45595962033931E-05	0.021891805168	0.001540225844	3.37183240915664E-05	0.01403304335	0.001569513588	2.2025052218818E-05	0.021933122018	0.001551257692	3.40239242399971E-05	0.013205197674	0.001548475106	2.04479198679981E-05	0.021626696062	0.001521349384	3.29017607318789E-05	0.012859971768	0.001519335834	1.95386159313507E-05	0.021493134832	0.0009810746306	2.10863693157404E-05	0.013017287896	0.000899886694	1.17140841695777E-05	0.021635130338	0.00155703829	3.36867263454066E-05	0.013121296022	0.001528125602	2.0050988382639E-05	0.021902622916	0.001529004284	3.34892042694006E-05	0.013253582598	0.001518576992	2.01265855948944E-05	
0.03119492684	0.001534644662	4.78731279564865E-05	0.03046053992	0.001540320942	4.6919007543403E-05	0.022446784516	0.001566951766	3.51730286383677E-05	0.03042347436	0.001554269776	4.72862866786589E-05	0.022535260448	0.001552698232	3.49904590552691E-05	0.02978055306	0.001524326532	4.53952871669918E-05	0.021065831728	0.001517284434	3.19628585701577E-05	0.03045499514	0.0009674698006	2.94642880753698E-05	0.021196893766	0.0008734028846	1.85134281597842E-05	0.03078508888	0.001549638116	4.77057471328957E-05	0.021938818622	0.00152867096	3.35372349241586E-05	0.02993237166	0.001539121542	4.60695580250563E-05	0.021402937534	0.001521008782	3.25540559498114E-05	
0.0393411738	0.001536566028	6.04503111627237E-05	0.03923677632	0.00154836157	6.0752716584574E-05	0.03020307664	0.001566951766	4.73267642796813E-05	0.03921556538	0.001551422658	6.08399166768124E-05	0.03122613826	0.001558937822	4.86796079685153E-05	0.03889043092	0.001518502268	5.90552075555173E-05	0.0304311545	0.001514757546	4.60958209123669E-05	0.0396035563	0.0009545655906	3.78041921093698E-05	0.02948367496	0.0008517224922	2.51119091161459E-05	0.03957223554	0.001538880402	6.08969377358339E-05	0.03018666208	0.001523322186	4.59840120677489E-05	0.0387082929	0.001534863484	5.94119453001865E-05	0.02988783468	0.001523475506	4.55333840623573E-05	
0.04885242184	0.001538617428	7.51651876430318E-05	0.04836098614	0.001546795366	7.48045492565422E-05	0.03887524614	0.001560962536	6.06828028023186E-05	0.0478345908	0.001547579924	7.40278523948351E-05	0.03960925098	0.00155948318	6.17699606757085E-05	0.0474354486	0.001515620218	7.18941249480598E-05	0.03978747356	0.001509443704	6.00569514632085E-05	0.0480509097	0.000953830037	4.58324009770347E-05	0.03827418052	0.0008278956032	3.16870257685911E-05	0.04822588664	0.001536829004	7.41149413319681E-05	0.03961102872	0.001512789602	5.99231523721394E-05	0.04719978474	0.001533807704	7.23953934613536E-05	0.03905631192	0.001519953	5.93637584717398E-05	
0.05715391498	0.00154207977	8.81358960669579E-05	0.0569428493	0.001549036962	8.82065782872958E-05	0.04720394642	0.001562598608	7.37608209679986E-05	0.05634624942	0.00155170795	8.74329231776969E-05	0.04879301142	0.00155394421	7.58216175845729E-05	0.05679760284	0.001511872584	8.58707385707165E-05	0.04806474224	0.00150605123	7.2387964170185E-05	0.05631143726	0.0009505326612	5.35258603147446E-05	0.04715131496	0.0008022172154	3.78255965896596E-05	0.05642673632	0.001541597486	8.69873148540969E-05	0.04796433492	0.00151243444	7.25429120247027E-05	0.05650314974	0.00152695289	8.62776477895957E-05	0.04720883626	0.001520913682	7.18005649791317E-05	
0.06599147784	0.001538782394	0.000101546524254233	0.06574933904	0.00154419861	0.000101530037953987	0.05530960586	0.001565065332	8.65631466580701E-05	0.06534159488	0.001549691486	0.000101259313267197	0.0573775366	0.001555260056	8.92369907856581E-05	0.06515071756	0.001508895436	9.8305620378409E-05	0.05717335206	0.00149900622	8.57032103561898E-05	0.06456974336	0.0009415662828	6.07966932368252E-05	0.05625155316	0.0007745825268	4.35714701830973E-05	0.06509281694	0.001537814918	0.000100100704944975	0.05644352488	0.001511603788	8.53202460166802E-05	0.06575318272	0.00151805638	9.98170385334017E-05	0.05613302768	0.001518862282	8.5258338517614E-05	
0.07454879798	0.001542209802	0.000114969886972074	0.07401373462	0.00154464887	0.000114325231545263	0.06435613036	0.001567081796	0.000100851320348159	0.07389555426	0.001555075194	0.000114913143376607	0.0653266819	0.00155795191	0.000101775828840067	0.07398301718	0.001505277832	0.000111364995705529	0.06619507882	0.001492731696	9.88114922738323E-05	0.07384894706	0.0009308687336	6.87436758274356E-05	0.06561078914	0.0007489992368	4.91424309917057E-05	0.07360251066	0.001538585406	0.000113243748746435	0.0654492091	0.0015070255	9.8633627068532E-05	0.07525212924	0.001509315132	0.000113579177377152	0.06518957	0.001513288378	9.86506186478174E-05	
0.08377301964	0.001545602276	0.000129479769822977	0.08258982598	0.001542087048	0.000127360700940332	0.07368499026	0.00155962146	0.000114920692089387	0.08255586486	0.001558147442	0.000128634209653707	0.07396479598	0.001552222744	0.000114809838575476	0.08249106292	0.001504507346	0.000124108410142488	0.07432103242	0.001490264972	0.000110758031298402	0.08218100866	0.0009273112938	7.62073774662936E-05	0.07374644534	0.0007340785622	5.41356845625481E-05	0.0821687741	0.001542333042	0.000126731615315064	0.07465326198	0.00151058294	0.000112769943962339	0.08436581302	0.001506978438	0.00012713746112548	0.07381354404	0.001506883822	0.000111228435358361	
0.09170593102	0.001548069	0.0001419671089282	0.09090146674	0.001546950628	0.000140620081059564	0.0829356559	0.001555968922	0.000129045303106086	0.09137541848	0.00155984368	0.000142531369023383	0.08271338342	0.001553373624	0.000128484788156427	0.09148748736	0.001505147802	0.000137702190510407	0.08304983492	0.001488438704	0.000123614588655739	0.09090435814	0.0009188902732	8.35311304863352E-05	0.08214141646	0.000720153505	5.91544289693337E-05	0.0905748436	0.001542237944	0.000139687960571786	0.08274344698	0.001518683732	0.000125661126858131	0.09310621898	0.001508994902	0.000140496809785316	0.0824080268	0.00150605317	0.000124110869995585	
